12091001;12;Sumatera Utara;09;1209;Simalungun;1;Rumah Sakit;001;RS GKPS Bethesda Saribu Dolok;Jln. Kemajuan Saribudolok;81362335306;;8527071130;
12091002;12;Sumatera Utara;09;1209;Simalungun;1;Rumah Sakit;002;RS Umum Balimbingan PTP 4;Alamat jln besar Tanah Jawa;82367744714;dr. Indah Mutia Sari;85261580456;
12091003;12;Sumatera Utara;09;1209;Simalungun;1;Rumah Sakit;003;RS Umum Daerah Parapat;Jl. Kolonel TPR Sinaga Kec. Girsip Bolon;81360862780;Hajijah Rahmayani Sinaga;85276032002;
12091004;12;Sumatera Utara;09;1209;Simalungun;1;Rumah Sakit;004;RS Umum Daerah Perdagangan;Jl.Radjamin Purba SH.kel.Perdagangan III kec.Bandar kab.Simalungun;6.227.076.032;NURSIANI FAJAR WATY;081260549445/082285083371;
12091005;12;Sumatera Utara;09;1209;Simalungun;1;Rumah Sakit;005;RS Umum Daerah Tuan Rondahaim Pematang Raya;JLN. PEMATANG SIANTAR - SERIBU DOLOK NAGORI MARJANDI, KEC. PANOMBEIAN PANEI, KABUPATEN SIMALUNGUN.;622331170;NOVALINA TRIFENA SIHOMBING;82277199886;
12091006;12;Sumatera Utara;09;1209;Simalungun;1;Rumah Sakit;006;RS Umum Karya Husada;JL. MERDEKA NO. 12-18 PERDAGANGAN, KEC. BANDAR, KAB. SIMALUNGUN;622697025;HEPPY JOJOR SIMAMORA;82273251326;
12091007;12;Sumatera Utara;09;1209;Simalungun;1;Rumah Sakit;007;RS Umum Laras Kabupaten Simalungun;Jln. Besar pasar bahal, kec.B.huluan ,Kab.Simalungun;0622-64337;Dewi nurhayati Ningsih;82166179762;
12092001;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;001;BAH BOLON;Bah Bolon, kec.dolog masagal, kab. Simalungun;89509513960;Rusmawani Nainggolan;81266864157;
12092002;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;002;BAH TONANG;NAGORI BAH TONANG;81361076347;HOTMARIDA SARAGIH;82286521112;
12092003;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;003;BANDAR HULUAN;Jln tugu Sujono Naga jaya 2;;Mesi;81396968652;
12092004;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;004;BANDAR MASILAM;jl.Puskesmas No 2 Sei Langgei;;Siti Rubiha Marpaung;82163146354;
12092005;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;005;BANDAR SIANTAR;Jln.Utama Bandar Siantar Kec.Gunung Malela;;Herlina;85358233865;
12092006;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;006;BANDAR TINGGI;jl. Komplek pekan Bandar Tinggi;;Sri Hastuti;81263084666;
12092007;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;007;BATU ANAM;Jln.ASHAN KM.6 - DESA LESTARI INDAH - KECAMATAN SIANTAR - KABUPATEN SIMALUNGUN.;(0622) 7355811;VERIKA KAROLINA SILALAHI;81361642042;
12092008;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;008;BOSAR MALIGAS;jln.Kapten kabar sinaga Bosar Maligas;82368322444;Tiurma Simanjuntak;82368322444;
12092009;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;009;BUNTU TURUNAN;Huta VI Titi beton,Buntu Turunan,Hatonduhan;;Rianti Tarigan;85360013479;
12092010;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;010;CINGKES;Cingkes, Kec. Dolok Silau;85261600444;Ruth Tarigan;82163680474;
12092011;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;011;GUNUNG MALIGAS;Huta II Nagori Bandar Malela Kec.Gunung Maligas;;Evi Mariati Sinaga;81361114463;
12092012;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;012;HARANGGAOL;Haranggol, Kec.Haranggaol Horisan, Kab.Simalungun;;Octaviana Saragih;82161078727;
12092013;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;013;HATONDUHAN;Jl besar p.Siantar-BP mandoge nagori saribu asih kec hatonduham;;Sion Siagian;82160107012;
12092014;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;014;HUTA BAYU;Jl Sisingamangaraja, kec.hutabayu raja;;Eva Rezeki Butar Butar;81371025700;
12092015;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;015;JAWA MARAJA;JL.Besar Jawa Maraja;;LAMTIAR HUTABARAT;81362119906;
12092016;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;016;KERASAAN;Kerasaan I , Kec. Pematang Bandar;;Henny Mariani Purba;81264558437;
12092017;12;Sumatera Utara;09;1209;Simalungun;2;Puskesmas;017;MARIHAT BANDAR;jl.Gereja nagori Marihat Bandar;;Vera Sinaga;81362004771;
